Market,Region,No_of_Orders,Profit,Sales
Africa,Western Africa,251,"-12,901.51","78,476.06"
Africa,Southern Africa,85,"11,768.58","51,319.50"
Africa,North Africa,182,"21,643.08","86,698.89"
Africa,Eastern Africa,110,"8,013.04","44,182.60"
Africa,Central Africa,103,"15,606.30","61,689.99"
Asia Pacific,Western Asia,382,"-16,766.90","1,24,312.24"
Asia Pacific,Southern Asia,469,"67,998.76","3,51,806.60"
Asia Pacific,Southeastern Asia,533,"20,948.84","3,29,751.38"
Asia Pacific,Oceania,646,"54,734.02","4,08,002.98"
Asia Pacific,Eastern Asia,414,"72,805.10","3,15,390.77"
Asia Pacific,Central Asia,37,"-2,649.76","8,190.74"
Europe,Western Europe,964,"82,091.27","6,56,637.14"
Europe,Southern Europe,338,"18,911.49","2,15,703.93"
Europe,Northern Europe,367,"43,237.44","2,52,969.09"
Europe,Eastern Europe,241,"25,050.69","1,08,258.93"
LATAM,South America,496,"12,377.59","2,10,710.49"
LATAM,Central America,930,"74,679.54","4,61,670.28"
LATAM,Caribbean,288,"13,529.59","1,16,333.05"
USCA,Western US,490,"44,303.65","2,51,991.83"
USCA,Southern US,255,"19,991.83","1,48,771.91"
USCA,Eastern US,443,"47,462.04","2,64,973.98"
USCA,Central US,356,"33,697.43","1,70,416.31"
USCA,Canada,49,"7,246.62","26,298.81"
